Diario;Día de la Semana;Mes;Pedidos;Facturación;Ingreso neto;Coste producto;Coste envío y embalaje;Coste forma de pago;Beneficio;Carrito Medio;Coste Producto Medio;Bº por Venta;x;Tráfico España;Tráfico Portugal;Tráfico Francia;Tráfico Italia;Tráfico UK;Tráfico IE;Tráfico México;Tráfico Chile;Tráfico TOTAL;x2;Coste ADS España;Coste ADS Portugal;Coste ADS Francia;Coste ADS Italia;Coste ADS UK;Coste ADS IE;Coste ADS México;Coste ADS Chile;TOTAL Coste ADS EroticFeel;x3;Tráfico ADS España;Tráfico ADS Portugal;Tráfico ADS Francia;Tráfico ADS Italia;Tráfico ADS UK;Tráfico ADS IE;Tráfico ADS México;Tráfico ADS Chile;Tráfico TOTAL ADS EroticFeel
19/08/2022;viernes;agosto;36; 2.405,34 € ; 1.992,26 € ; 1.126,65 € ; 162,20 € ; 21,79 € ; 679,24 € ; 66,82 € ; 31,30 € ; 18,87 € ;x;794 ;250 ;78 ;95 ;63 ;22 ;384 ;259 ;1.945 ;x; 125,67 € ; 100,33 € ; 0,69 € ; 0,01 € ; 0,09 € ;; 98,72 € ;; 325,51 € ;x;306 ;133;2;1;1;1;249;217;910
20/08/2022;sábado;agosto;15; 1.244,79 € ; 1.019,44 € ; 672,80 € ; 76,43 € ; 11,60 € ; 256,24 € ; 82,99 € ; 44,85 € ; 17,08 € ;x;541 ;176 ;57 ;82 ;56 ;25 ;452 ;220 ;1.609 ;x; 44,07 € ; 39,49 € ; -   € ; 0,01 € ; 0,21 € ;; 99,24 € ;; 183,02 € ;x;152 ;101;0;1;2;2;327;177;762
21/08/2022;domingo;agosto;30; 1.891,50 € ; 1.515,09 € ; 873,91 € ; 151,64 € ; 27,63 € ; 459,52 € ; 63,05 € ; 29,13 € ; 15,32 € ;x;644 ;175 ;77 ;100 ;59 ;34 ;388 ;241 ;1.718 ;x; 58,25 € ; 40,86 € ; -   € ; 0,58 € ; 0,27 € ;; 85,53 € ;; 185,49 € ;x;174 ;99;0;1;1;2;260;200;737
22/08/2022;lunes;agosto;43; 2.489,80 € ; 2.099,74 € ; 1.177,13 € ; 166,79 € ; 39,97 € ; 715,84 € ; 57,90 € ; 27,38 € ; 16,65 € ;x;870 ;279 ;79 ;100 ;79 ;31 ;386 ;155 ;1.979 ;x; 158,13 € ; 94,30 € ; -   € ; 0,80 € ; 0,36 € ;; 70,27 € ;; 323,86 € ;x;357 ;169;0;1;5;0;225;94;851
23/08/2022;martes;agosto;48; 2.481,74 € ; 2.092,63 € ; 1.072,08 € ; 176,32 € ; 48,19 € ; 796,05 € ; 51,70 € ; 22,34 € ; 16,58 € ;x;1.024 ;297 ;80 ;108 ;119 ;39 ;375 ;134 ;2.176 ;x; 190,07 € ; 88,78 € ; -   € ; -   € ; 0,79 € ;; 79,06 € ;; 358,70 € ;x;404 ;164;0;0;5;5;220;89;887
24/08/2022;miércoles;agosto;40; 2.182,39 € ; 1.835,37 € ; 992,90 € ; 159,82 € ; 31,07 € ; 649,19 € ; 54,56 € ; 24,82 € ; 16,23 € ;x;907 ;223 ;75 ;70 ;80 ;21 ;348 ;114 ;1.838 ;x; 194,23 € ; 72,00 € ; -   € ; 0,30 € ; -   € ;; 75,14 € ;; 341,67 € ;x;404 ;130;1;2;0;2;221;75;835
25/08/2022;jueves;agosto;29; 1.415,41 € ; 1.198,48 € ; 658,91 € ; 124,63 € ; 22,34 € ; 392,62 € ; 48,81 € ; 22,72 € ; 13,54 € ;x;920 ;238 ;70 ;100 ;45 ;16 ;388 ;110 ;1.887 ;x; 169,94 € ; 102,36 € ; 0,73 € ; 1,03 € ; -   € ;; 57,42 € ;; 331,48 € ;x;371 ;147;3;5;0;2;221;68;817
26/08/2022;viernes;agosto;27; 1.413,22 € ; 1.217,33 € ; 677,44 € ; 140,33 € ; 17,70 € ; 381,86 € ; 52,34 € ; 25,09 € ; 14,14 € ;x;777 ;197 ;88 ;108 ;41 ;18 ;351 ;130 ;1.710 ;x; 124,74 € ; 93,29 € ; 0,15 € ; 0,39 € ; 0,29 € ;; 73,76 € ;; 292,62 € ;x;295 ;114;3;5;1;1;227;93;739
27/08/2022;sábado;agosto;20; 1.601,81 € ; 1.369,61 € ; 694,35 € ; 106,19 € ; 26,50 € ; 542,58 € ; 80,09 € ; 34,72 € ; 27,13 € ;x;545 ;140 ;61 ;81 ;61 ;22 ;320 ;111 ;1.341 ;x; 43,38 € ; 26,28 € ; -   € ; 0,02 € ; 1,51 € ;; 76,59 € ;; 147,78 € ;x;134 ;72;1;1;5;1;199;70;483
28/08/2022;domingo;agosto;29; 1.989,68 € ; 1.674,14 € ; 885,12 € ; 130,81 € ; 34,62 € ; 623,58 € ; 68,61 € ; 30,52 € ; 21,50 € ;x;764 ;157 ;65 ;100 ;45 ;35 ;334 ;103 ;1.603 ;x; 52,03 € ; 36,24 € ; -   € ; 0,28 € ; 0,24 € ;; 79,38 € ;; 168,17 € ;x;169 ;71;0;3;1;5;208;62;519
29/08/2022;lunes;agosto;38; 2.165,45 € ; 1.794,18 € ; 1.087,21 € ; 121,96 € ; 25,70 € ; 559,33 € ; 56,99 € ; 28,61 € ; 14,72 € ;x;1.136 ;189 ;66 ;99 ;57 ;30 ;339 ;122 ;2.038 ;x; 200,17 € ; 83,12 € ; -   € ; 1,06 € ; 0,02 € ;; 67,41 € ;; 351,78 € ;x;390 ;100;0;2;3;5;203;76;779
30/08/2022;martes;agosto;37; 2.262,12 € ; 1.827,96 € ; 1.110,47 € ; 147,51 € ; 38,61 € ; 526,59 € ; 61,14 € ; 30,01 € ; 14,23 € ;x;847 ;198 ;73 ;76 ;50 ;25 ;310 ;112 ;1.691 ;x; 185,95 € ; 96,51 € ; -   € ; 0,19 € ; -   € ;; 65,67 € ;; 348,32 € ;x;344 ;113;0;2;0;1;187;74;721
31/08/2022;miércoles;agosto;49; 3.083,98 € ; 2.519,82 € ; 1.481,74 € ; 178,49 € ; 37,23 € ; 820,00 € ; 62,94 € ; 30,24 € ; 16,73 € ;x;869 ;199 ;75 ;99 ;48 ;22 ;387 ;120 ;1.819 ;x; 193,56 € ; 107,76 € ; -   € ; 0,02 € ; 0,15 € ;; 91,90 € ;; 393,39 € ;x;402 ;115;2;2;1;1;243;87;853
01/09/2022;jueves;septiembre;29; 1.734,88 € ; 1.421,94 € ; 816,80 € ; 100,30 € ; 19,70 € ; 482,76 € ; 59,82 € ; 28,17 € ; 16,65 € ;x;711 ;198 ;71 ;108 ;36 ;21 ;337 ;111 ;1.593 ;x; 173,13 € ; 92,25 € ; -   € ; 0,02 € ; -   € ;; 58,31 € ;; 323,71 € ;x;309 ;107;1;1;0;2;216;76;712
02/09/2022;viernes;septiembre;27; 1.248,97 € ; 965,98 € ; 509,37 € ; 71,39 € ; 15,19 € ; 367,61 € ; 46,26 € ; 18,87 € ; 13,62 € ;x;833 ;185 ;59 ;77 ;44 ;18 ;322 ;98 ;1.636 ;x; 143,38 € ; 101,10 € ; 0,05 € ; 0,41 € ; -   € ;; 58,82 € ;; 303,76 € ;x;298 ;115;0;1;0;3;187;68;672
03/09/2022;sábado;septiembre;22; 1.444,35 € ; 1.292,52 € ; 676,16 € ; 126,97 € ; 21,48 € ; 467,91 € ; 65,65 € ; 30,73 € ; 21,27 € ;x;670 ;171 ;60 ;75 ;46 ;25 ;323 ;80 ;1.450 ;x; 53,31 € ; 97,26 € ; -   € ; -   € ; -   € ;; 78,93 € ;; 229,50 € ;x;173 ;104;0;0;0;1;209;51;538
04/09/2022;domingo;septiembre;29; 1.454,67 € ; 1.186,85 € ; 696,10 € ; 109,44 € ; 18,80 € ; 360,11 € ; 50,16 € ; 24,00 € ; 12,42 € ;x;652 ;207 ;62 ;85 ;67 ;31 ;329 ;63 ;1.496 ;x; 89,15 € ; 108,35 € ; 0,58 € ; -   € ; 0,24 € ;; 71,35 € ;; 269,67 € ;x;186 ;136;1;0;1;3;218;37;582
05/09/2022;lunes;septiembre;40; 2.015,63 € ; 1.647,84 € ; 872,07 € ; 150,12 € ; 29,44 € ; 589,81 € ; 50,39 € ; 21,80 € ; 14,75 € ;x;941 ;231 ;74 ;118 ;55 ;28 ;448 ;115 ;2.010 ;x; 236,45 € ; 107,78 € ; -   € ; 2,72 € ; -   € ;; 84,90 € ;; 431,85 € ;x;442 ;133;0;5;0;4;281;72;937
06/09/2022;martes;septiembre;32; 2.091,83 € ; 1.739,57 € ; 1.026,03 € ; 115,29 € ; 34,17 € ; 564,07 € ; 65,37 € ; 32,06 € ; 17,63 € ;x;849 ;223 ;70 ;108 ;50 ;25 ;371 ;107 ;1.803 ;x; 189,48 € ; 133,12 € ; 0,96 € ; -   € ; -   € ;; 83,70 € ;; 407,26 € ;x;350 ;129;1;0;0;6;253;61;800
07/09/2022;miércoles;septiembre;35; 2.086,77 € ; 1.744,09 € ; 930,86 € ; 144,48 € ; 36,55 € ; 632,23 € ; 59,62 € ; 26,60 € ; 18,06 € ;x;874 ;219 ;74 ;83 ;49 ;25 ;301 ;91 ;1.716 ;x; 181,22 € ; 111,81 € ; 0,50 € ; -   € ; -   € ;; 62,67 € ;; 356,20 € ;x;343 ;133;2;1;0;3;172;53;707
08/09/2022;jueves;septiembre;31; 1.744,46 € ; 1.397,24 € ; 820,18 € ; 113,41 € ; 19,21 € ; 366,46 € ; 56,27 € ; 26,46 € ; 11,82 € ;x;2.419 ;192 ;67 ;108 ;50 ;22 ;340 ;76 ;3.274 ;x; 148,62 € ; 76,67 € ; -   € ; 0,10 € ; -   € ;; 49,29 € ;; 274,68 € ;x;303 ;96;2;2;0;4;208;45;660
09/09/2022;viernes;septiembre;23; 1.937,28 € ; 1.156,34 € ; 730,35 € ; 73,85 € ; 17,80 € ; 331,83 € ; 84,23 € ; 31,75 € ; 14,43 € ;x;1.549 ;191 ;58 ;108 ;39 ;21 ;319 ;89 ;2.374 ;x; 142,31 € ; 95,67 € ; 0,77 € ; -   € ; 0,05 € ;; 70,67 € ;; 309,47 € ;x;302 ;103;2;0;2;2;186;55;652
10/09/2022;sábado;septiembre;17; 995,86 € ; 827,21 € ; 468,83 € ; 59,50 € ; 16,34 € ; 282,54 € ; 58,58 € ; 27,58 € ; 16,62 € ;x;814 ;135 ;59 ;73 ;40 ;19 ;335 ;81 ;1.556 ;x; 51,22 € ; 41,22 € ; -   € ; 0,09 € ; -   € ;; 66,00 € ;; 158,53 € ;x;186 ;79;0;2;0;0;224;57;548
11/09/2022;domingo;septiembre;17; 1.032,72 € ; 862,74 € ; 473,41 € ; 88,82 € ; 18,26 € ; 282,25 € ; 60,75 € ; 27,85 € ; 16,60 € ;x;909 ;150 ;64 ;96 ;52 ;31 ;372 ;94 ;1.768 ;x; 85,44 € ; 58,84 € ; -   € ; 0,51 € ; 0,24 € ;; 69,55 € ;; 214,58 € ;x;254 ;97;0;2;2;0;253;63;671
12/09/2022;lunes;septiembre;43; 2.195,22 € ; 1.818,66 € ; 1.049,34 € ; 164,99 € ; 32,55 € ; 571,79 € ; 51,05 € ; 24,40 € ; 13,30 € ;x;960 ;200 ;78 ;103 ;49 ;25 ;391 ;98 ;1.904 ;x; 201,07 € ; 89,37 € ; 0,21 € ; 0,31 € ; 2,03 € ;; 86,01 € ;; 379,00 € ;x;319 ;123;4;2;2;4;243;62;759
13/09/2022;martes;septiembre;32; 1.601,53 € ; 1.341,90 € ; 769,06 € ; 160,41 € ; 21,49 € ; 390,93 € ; 50,05 € ; 24,03 € ; 12,22 € ;x;920 ;187 ;80 ;88 ;56 ;19 ;338 ;101 ;1.789 ;x; 123,38 € ; 89,90 € ; -   € ; 0,15 € ; -   € ;; 73,90 € ;; 287,33 € ;x;268 ;116;1;2;0;1;207;74;669
14/09/2022;miércoles;septiembre;42; 2.165,69 € ; 1.787,17 € ; 961,91 € ; 180,04 € ; 26,42 € ; 609,17 € ; 51,56 € ; 22,90 € ; 14,50 € ;x;990 ;186 ;98 ;121 ;56 ;10 ;319 ;87 ;1.867 ;x; 158,25 € ; 59,62 € ; -   € ; 0,01 € ; 0,14 € ;; 68,81 € ;; 286,83 € ;x;300 ;93;0;1;1;1;202;55;653
15/09/2022;jueves;septiembre;35; 1.892,19 € ; 1.450,83 € ; 883,59 € ; 119,63 € ; 15,78 € ; 427,05 € ; 54,06 € ; 25,25 € ; 12,20 € ;x;977 ;227 ;84 ;110 ;76 ;25 ;263 ;69 ;1.831 ;x; 141,81 € ; 53,52 € ; -   € ; -   € ; 0,06 € ;; 40,21 € ;; 235,60 € ;x;277 ;79;1;1;1;3;118;39;519
16/09/2022;viernes;septiembre;47; 2.532,02 € ; 2.100,68 € ; 1.267,39 € ; 138,06 € ; 29,94 € ; 665,31 € ; 53,87 € ; 26,97 € ; 14,16 € ;x;1.258 ;254 ;92 ;108 ;80 ;20 ;290 ;78 ;2.180 ;x; 93,29 € ; 47,72 € ; -   € ; 0,02 € ; 0,03 € ;; 59,67 € ;; 200,73 € ;x;244 ;82;1;2;1;1;168;45;544
17/09/2022;sábado;septiembre;33; 1.596,06 € ; 1.361,47 € ; 726,09 € ; 140,31 € ; 36,42 € ; 458,65 € ; 48,37 € ; 22,00 € ; 13,90 € ;x;1.005 ;163 ;84 ;107 ;59 ;27 ;262 ;67 ;1.774 ;x; 112,27 € ; 59,25 € ; 0,06 € ; 0,02 € ; 0,29 € ;; 45,76 € ;; 217,65 € ;x;289 ;76;2;4;2;4;141;42;560
18/09/2022;domingo;septiembre;38; 2.188,56 € ; 1.844,53 € ; 1.017,01 € ; 155,44 € ; 40,04 € ; 629,65 € ; 57,59 € ; 26,76 € ; 16,57 € ;x;2.479 ;144 ;106 ;94 ;82 ;30 ;401 ;83 ;3.419 ;x; 136,43 € ; 65,89 € ; 0,01 € ; 0,03 € ; -   € ;; 78,47 € ;; 280,83 € ;x;339 ;75;1;1;0;3;260;43;722
19/09/2022;lunes;septiembre;34; 1.814,71 € ; 1.447,26 € ; 806,33 € ; 116,66 € ; 22,30 € ; 498,72 € ; 53,37 € ; 23,72 € ; 14,67 € ;x;1.636 ;204 ;90 ;103 ;70 ;19 ;322 ;110 ;2.554 ;x; 141,09 € ; 66,53 € ; 13,29 € ; -   € ; 0,26 € ;; 50,46 € ;; 271,63 € ;x;307 ;100;21;0;2;3;157;73;663
20/09/2022;martes;septiembre;30; 2.096,98 € ; 1.731,33 € ; 926,65 € ; 150,34 € ; 31,98 € ; 615,58 € ; 69,90 € ; 30,89 € ; 20,52 € ;x;1.088 ;182 ;93 ;100 ;51 ;14 ;251 ;98 ;1.877 ;x; 127,12 € ; 65,09 € ; 21,71 € ; 0,79 € ; 0,23 € ;; 46,81 € ;; 261,75 € ;x;281 ;89;25;2;1;1;138;63;600
21/09/2022;miércoles;septiembre;35; 1.534,09 € ; 1.282,05 € ; 663,40 € ; 122,77 € ; 12,99 € ; 482,89 € ; 43,83 € ; 18,95 € ; 13,80 € ;x;989 ;184 ;89 ;80 ;41 ;11 ;233 ;120 ;1.747 ;x; 164,70 € ; 43,49 € ; 11,88 € ; 0,08 € ; 0,07 € ;; 44,06 € ;; 264,28 € ;x;297 ;84;17;4;1;3;110;81;597
22/09/2022;jueves;septiembre;25; 1.473,58 € ; 1.223,30 € ; 708,70 € ; 106,10 € ; 25,56 € ; 382,91 € ; 58,94 € ; 28,35 € ; 15,32 € ;x;1.209 ;187 ;105 ;91 ;53 ;30 ;142 ;108 ;1.925 ;x; 171,74 € ; 41,27 € ; 19,97 € ; 0,01 € ; 0,26 € ;; -   € ;; 233,25 € ;x;300 ;87;24;1;2;3;10;76;503
23/09/2022;viernes;septiembre;16; 1.006,72 € ; 875,43 € ; 437,63 € ; 85,35 € ; 11,20 € ; 341,22 € ; 62,92 € ; 27,35 € ; 21,33 € ;x;1.204 ;161 ;93 ;97 ;44 ;22 ;139 ;91 ;1.851 ;x; 133,44 € ; 43,95 € ; 21,24 € ; -   € ; 0,41 € ;; -   € ;; 199,04 € ;x;342 ;90;31;0;2;2;21;47;535
24/09/2022;sábado;septiembre;17; 963,93 € ; 706,76 € ; 325,82 € ; 96,74 € ; 3,48 € ; 262,42 € ; 56,70 € ; 19,17 € ; 15,44 € ;x;778 ;150 ;91 ;87 ;62 ;31 ;133 ;88 ;1.420 ;x; 38,21 € ; 23,67 € ; 47,39 € ; 0,11 € ; -   € ;; -   € ;; 109,38 € ;x;136 ;69;33;1;0;3;13;60;315
25/09/2022;domingo;septiembre;23; 1.353,87 € ; 1.142,70 € ; 602,67 € ; 94,46 € ; 10,64 € ; 434,93 € ; 58,86 € ; 26,20 € ; 18,91 € ;x;830 ;155 ;97 ;85 ;56 ;23 ;146 ;131 ;1.523 ;x; 76,80 € ; 32,05 € ; 27,82 € ; -   € ; -   € ;; -   € ;; 136,67 € ;x;194 ;80;26;0;0;1;39;90;430
26/09/2022;lunes;septiembre;30; 1.049,63 € ; 812,52 € ; 412,66 € ; 116,23 € ; 14,46 € ; 264,26 € ; 34,99 € ; 13,76 € ; 8,81 € ;x;922 ;180 ;107 ;81 ;57 ;18 ;143 ;120 ;1.628 ;x; 147,01 € ; 61,47 € ; 31,19 € ; -   € ; -   € ;; -   € ;; 239,67 € ;x;301 ;98;27;0;0;3;15;78;522
27/09/2022;martes;septiembre;18; 1.252,59 € ; 1.050,01 € ; 545,74 € ; 85,83 € ; 12,22 € ; 406,23 € ; 69,59 € ; 30,32 € ; 22,57 € ;x;1.548 ;142 ;94 ;102 ;66 ;16 ;113 ;116 ;2.197 ;x; 87,57 € ; 57,05 € ; 16,02 € ; 0,06 € ; 0,55 € ;; -   € ;; 161,25 € ;x;213 ;76;21;2;3;0;4;76;395
28/09/2022;miércoles;septiembre;37; 1.881,82 € ; 1.547,73 € ; 841,46 € ; 152,24 € ; 20,47 € ; 531,17 € ; 50,86 € ; 22,74 € ; 14,36 € ;x;1.884 ;175 ;87 ;85 ;79 ;17 ;1.012 ;126 ;3.465 ;x; 75,47 € ; 76,03 € ; 29,90 € ; 0,80 € ; 0,19 € ;; 378,55 € ;; 560,94 € ;x;216 ;100;22;1;1;1;887;77;1305
29/09/2022;jueves;septiembre;34; 2.620,81 € ; 2.211,91 € ; 1.166,56 € ; 146,26 € ; 44,36 € ; 854,74 € ; 77,08 € ; 34,31 € ; 25,14 € ;x;1.133 ;186 ;91 ;76 ;57 ;17 ;427 ;99 ;2.086 ;x; 59,77 € ; 91,80 € ; 22,31 € ; 1,08 € ; -   € ;; 92,69 € ;; 267,65 € ;x;191 ;109;14;2;0;1;322;56;695
30/09/2022;viernes;septiembre;29; 1.780,45 € ; 1.479,67 € ; 807,36 € ; 141,47 € ; 19,85 € ; 508,60 € ; 61,39 € ; 27,84 € ; 17,54 € ;x;1.270 ;168 ;88 ;88 ;49 ;21 ;193 ;97 ;1.974 ;x; 48,76 € ; 44,55 € ; 8,66 € ; 0,01 € ; 0,08 € ;; 18,29 € ;; 120,35 € ;x;141 ;79;4;2;2;3;67;59;357
1/10/22;sábado;octubre;18; 967,59 € ; 826,89 € ; 421,75 € ; 84,18 € ; 13,80 € ; 307,18 € ; 53,76 € ; 23,43 € ; 17,07 € ;x;700 ;147 ;66 ;76 ;45 ;35 ;195 ;114 ;1.378 ;x; 15,02 € ; 30,18 € ; 9,51 € ; -   € ; 0,01 € ;; 20,04 € ;; 74,76 € ;x;58 ;67;6;0;2;3;80;68;284
2/10/22;domingo;octubre;25; 1.605,51 € ; 1.329,23 € ; 771,70 € ; 108,03 € ; 19,95 € ; 429,58 € ; 64,22 € ; 30,87 € ; 17,18 € ;x;712 ;173 ;88 ;99 ;62 ;46 ;184 ;118 ;1.482 ;x; 35,09 € ; 32,88 € ; 13,29 € ; 0,08 € ; -   € ;; 8,10 € ;; 89,44 € ;x;85 ;69;8;2;1;7;57;69;298
3/10/22;lunes;octubre;41; 2.611,47 € ; 2.190,28 € ; 1.153,91 € ; 177,97 € ; 28,04 € ; 830,31 € ; 63,69 € ; 28,14 € ; 20,25 € ;x;841 ;192 ;101 ;97 ;51 ;21 ;198 ;323 ;1.824 ;x; 78,06 € ; 75,67 € ; 16,52 € ; 0,08 € ; 0,30 € ;; 12,87 € ;; 183,50 € ;x;161 ;94;5;2;3;5;66;249;585
4/10/22;martes;octubre;36; 1.831,73 € ; 1.451,75 € ; 738,42 € ; 150,47 € ; 24,71 € ; 533,28 € ; 50,88 € ; 20,51 € ; 14,81 € ;x;865 ;166 ;82 ;84 ;52 ;14 ;191 ;293 ;1.747 ;x; 62,51 € ; 51,43 € ; 5,89 € ; 0,45 € ; -   € ;; 16,15 € ;; 136,43 € ;x;165 ;89;9;1;1;2;65;218;550
5/10/22;miércoles;octubre;30; 1.617,33 € ; 1.348,37 € ; 787,85 € ; 120,29 € ; 17,04 € ; 423,20 € ; 53,91 € ; 26,26 € ; 14,11 € ;x;1.225 ;269 ;122 ;124 ;88 ;57 ;250 ;233 ;2.368 ;x; 56,06 € ; 45,71 € ; 2,40 € ; 0,09 € ; 1,62 € ;; 45,34 € ;; 151,22 € ;x;169 ;81;4;3;3;2;134;185;581
6/10/22;jueves;octubre;74; 3.007,99 € ; 2.466,80 € ; 1.527,33 € ; 273,16 € ; 34,79 € ; 629,20 € ; 40,65 € ; 20,64 € ; 8,50 € ;x;1.703 ;377 ;141 ;92 ;127 ;94 ;277 ;176 ;2.987 ;x; 50,73 € ; 66,28 € ; 10,16 € ; -   € ; 0,16 € ;; 59,53 € ;; 186,86 € ;x;164 ;105;5;1;4;2;167;118;566
7/10/22;viernes;octubre;68; 2.622,32 € ; 2.182,54 € ; 1.458,70 € ; 244,04 € ; 37,58 € ; 442,22 € ; 38,56 € ; 21,45 € ; 6,50 € ;x;1.244 ;238 ;84 ;88 ;94 ;65 ;265 ;143 ;2.221 ;x; 62,89 € ; 51,86 € ; 5,19 € ; -   € ; 0,08 € ;; 47,50 € ;; 167,52 € ;x;178 ;84;6;0;1;3;134;102;508
8/10/22;sábado;octubre;28; 1.125,90 € ; 937,79 € ; 620,62 € ; 91,54 € ; 17,39 € ; 208,27 € ; 40,21 € ; 22,17 € ; 7,44 € ;x;844 ;192 ;92 ;80 ;44 ;27 ;183 ;144 ;1.606 ;x; 30,69 € ; 26,89 € ; 17,25 € ; 0,08 € ; 0,01 € ;; 19,95 € ;; 94,87 € ;x;80 ;90;6;2;2;2;77;112;371
9/10/22;domingo;octubre;32; 1.724,69 € ; 1.458,18 € ; 784,68 € ; 214,90 € ; 29,34 € ; 429,28 € ; 53,90 € ; 24,52 € ; 13,42 € ;x;885 ;164 ;115 ;112 ;64 ;273 ;202 ;146 ;1.961 ;x; 37,97 € ; 20,88 € ; 7,35 € ; 0,27 € ; 0,01 € ;; 24,16 € ;; 90,64 € ;x;111 ;59;7;2;1;4;92;108;384
10/10/22;lunes;octubre;35; 2.362,43 € ; 1.966,62 € ; 1.064,64 € ; 192,71 € ; 24,71 € ; 684,59 € ; 67,50 € ; 30,42 € ; 19,56 € ;x;966 ;209 ;103 ;105 ;63 ;54 ;241 ;152 ;1.893 ;x; 56,51 € ; 55,87 € ; 10,16 € ; 0,29 € ; 0,01 € ;; 38,46 € ;; 161,30 € ;x;189 ;87;8;4;2;3;114;96;503
11/10/22;martes;octubre;26; 1.452,21 € ; 1.214,41 € ; 654,66 € ; 98,21 € ; 22,55 € ; 438,99 € ; 55,85 € ; 25,18 € ; 16,88 € ;x;832 ;224 ;121 ;92 ;57 ;28 ;260 ;143 ;1.757 ;x; 50,41 € ; 60,61 € ; 8,68 € ; 0,38 € ; 1,65 € ;; 42,80 € ;; 164,53 € ;x;158 ;97;11;2;3;1;115;103;490
12/10/22;miércoles;octubre;25; 1.504,83 € ; 1.253,55 € ; 610,30 € ; 102,46 € ; 21,21 € ; 519,61 € ; 60,19 € ; 24,41 € ; 20,78 € ;x;780 ;193 ;99 ;111 ;53 ;29 ;253 ;143 ;1.661 ;x; 43,87 € ; 69,43 € ; 16,03 € ; 0,77 € ; -   € ;; 42,55 € ;; 172,65 € ;x;159 ;92;8;4;1;1;134;87;486
13/10/22;jueves;octubre;23; 1.401,66 € ; 1.174,58 € ; 567,98 € ; 109,35 € ; 22,43 € ; 472,42 € ; 60,94 € ; 24,69 € ; 20,54 € ;x;1.009 ;191 ;124 ;103 ;74 ;39 ;260 ;125 ;1.925 ;x; 37,77 € ; 59,10 € ; 14,38 € ; 0,46 € ; 0,07 € ;; 40,23 € ;; 152,01 € ;x;120 ;86;14;4;2;3;135;83;447
14/10/22;viernes;octubre;23; 997,87 € ; 828,92 € ; 387,73 € ; 82,51 € ; 11,47 € ; 347,26 € ; 43,39 € ; 16,86 € ; 15,10 € ;x;1.057 ;182 ;100 ;88 ;50 ;20 ;253 ;122 ;1.872 ;x; 34,69 € ; 64,24 € ; 14,65 € ; 0,18 € ; -   € ;; 37,81 € ;; 151,57 € ;x;115 ;104;6;1;0;2;150;78;456
15/10/22;sábado;octubre;20; 1.065,98 € ; 882,45 € ; 480,14 € ; 104,12 € ; 13,42 € ; 284,76 € ; 53,30 € ; 24,01 € ; 14,24 € ;x;730 ;166 ;111 ;99 ;61 ;27 ;212 ;138 ;1.544 ;x; 11,51 € ; 20,67 € ; 7,25 € ; -   € ; 0,09 € ;; 26,91 € ;; 66,43 € ;x;72 ;77;6;1;2;1;109;96;364
16/10/22;domingo;octubre;12; 832,08 € ; 688,23 € ; 361,95 € ; 44,97 € ; 13,67 € ; 267,63 € ; 69,34 € ; 30,16 € ; 22,30 € ;x;647 ;168 ;100 ;104 ;55 ;20 ;256 ;139 ;1.489 ;x; 17,69 € ; 39,62 € ; 14,59 € ; 0,76 € ; 0,19 € ;; 42,23 € ;; 115,08 € ;x;91 ;87;6;2;0;1;138;94;419
17/10/22;lunes;octubre;17; 825,96 € ; 682,55 € ; 359,92 € ; 58,82 € ; 12,08 € ; 251,74 € ; 48,59 € ; 21,17 € ; 14,81 € ;x;743 ;198 ;91 ;109 ;52 ;24 ;314 ;134 ;1.665 ;x; 27,10 € ; 76,61 € ; 4,62 € ; 0,77 € ; -   € ;; 67,92 € ;; 177,02 € ;x;88 ;106;3;2;1;1;185;90;476
18/10/22;martes;octubre;24; 1.093,19 € ; 915,54 € ; 467,61 € ; 101,38 € ; 13,11 € ; 333,44 € ; 45,55 € ; 19,48 € ; 13,89 € ;x;2.130 ;252 ;85 ;111 ;59 ;26 ;328 ;117 ;3.108 ;x; 26,39 € ; 102,80 € ; 6,54 € ; 0,15 € ; 0,08 € ;; 73,14 € ;; 209,10 € ;x;86 ;153;6;1;2;4;197;79;528
19/10/22;miércoles;octubre;25; 1.503,10 € ; 1.225,95 € ; 630,26 € ; 159,21 € ; 12,91 € ; 421,20 € ; 60,12 € ; 25,21 € ; 16,85 € ;x;1.013 ;195 ;111 ;107 ;47 ;28 ;299 ;139 ;1.939 ;x; 33,71 € ; 62,35 € ; 7,19 € ; 1,57 € ; 0,21 € ;; 55,63 € ;; 160,66 € ;x;89 ;109;3;2;3;1;181;95;483
20/10/22;jueves;octubre;21; 1.335,52 € ; 1.105,04 € ; 525,48 € ; 68,76 € ; 21,13 € ; 489,67 € ; 63,60 € ; 25,02 € ; 23,32 € ;x;1.090 ;185 ;119 ;99 ;60 ;34 ;430 ;142 ;2.159 ;x; 38,18 € ; 42,04 € ; 0,19 € ; 0,52 € ; -   € ;; 103,04 € ;; 183,97 € ;x;93 ;80;2;2;0;5;315;88;585
21/10/22;viernes;octubre;31; 1.598,43 € ; 1.338,83 € ; 653,88 € ; 124,20 € ; 21,54 € ; 539,21 € ; 51,56 € ; 21,09 € ; 17,39 € ;x;1.239 ;149 ;101 ;104 ;52 ;26 ;293 ;118 ;2.082 ;x; 83,44 € ; 48,81 € ; 1,94 € ; 0,01 € ; -   € ;; 52,32 € ;; 186,52 € ;x;156 ;74;3;0;0;1;164;85;483
